Unnamed: 0.1,Unnamed: 0,Dizi İsimleri,Yapım Yılı,Yönetmen,Senarist,Platform,Türler,Aile,Dram,Komedi,Aksiyon,Polisiye,Tarihi,Romantik,Yapım Şirketi,Başroller,Gösterim Süresi,Besteci,Başrollerin Sezon Ortalaması,Yönetmen Sezon Ortalaması,Senarist Sezon Ortalaması,Ödüllü Yönetmen,Ödüllü Aktör,İhraç,Ödüllü Dizi,Sonuç
858,858,Annem,2007,Faruk Teber,Gamze Özer,Kanal D,['Dram'],0,1,0,0,0,0,0,Gold Film,"Vahide Perçin,Duygu Yetiş,Talat Bulut,İlhan Şeşen,Emel Göksu",100,Kıraç,2.83,1.3636363636363635,1.9090909090909087,0,0,0,0,Kısmen Başarılı
859,859,Arka Sıradakiler,2007,Hamdi Alkan,Nur Özlem Elginöz,FOX,"['Gençlik','Dram']",0,1,0,0,0,0,0,MinT Prodüksiyon,"Bülent Emin Yarar,Bülent Çetinaslan,Sinem Öztürk,Barış Atay Mengüllü,Pelin Akil,Fırat Çöloğlu",100,Unknown,3.6931818181818175,2.0,6.0,0,0,0,0,Kısmen Olgun
860,860,Asi,2007,Cevdet Mercan,Şebnem Çitak,Kanal D,"['Dram','Romantik']",0,1,0,0,0,0,1,Sis Yapım,"Tuba Büyüküstün,Murat Yıldırım,Çetin Tekindor,Nur Sürer,Tuncel Kurtiz,Selma Ergeç",84,Unknown,1.776094276094276,1.4,2.5,0,0,0,0,Kısmen Başarılı
861,861,Aşk Kapıyı Çalınca,2007,Ömer Gökhan Erkut,Filiz Alpgezmen,Star TV,"['Dram','Duygusal']",0,1,0,0,0,0,1,Koliba Film,"Burak Kut,Burak Davutoğlu,Erdal Küçükkömürcü,Bahar Öztan,Aslı Yılmaz,Nihal Menzil",80,Tolga Sünter,1.4305555555555556,1.0,2.2,0,0,0,0,Başarısız
862,862,Benden Baba Olmaz,2007,Tankut Kılınç,Murat Aras,Star TV,"['Duygusal','Komedi']",0,1,1,0,0,0,0,Mint Prodüksiyon,"Mine Tugay,Atılgan Gümüş,Okan Tangücü,Volkan Severcan",80,Burcu Güven,1.25,1.0,4.4,0,0,0,0,Başarısız
863,863,Bez Bebek,2007,Serpil Kurtça,Nilbanu Engindeniz,FOX,"['Çocuk','Fantastik','Komedi','Dram']",0,1,1,0,0,0,0,Focus Film,"Evrim Akın,Tan Sağtürk,Alpay Atalan,Fatoş Kabasakal,Reyhan Asena Keskinci,Ege Tanman",80,Cenk Durmazel,2.9166666666666665,2.0,3.0,0,0,0,0,Başarılı
864,864,Bıçak Sırtı,2007,Selim Demirdelen,Gaye Boralıoğlu,Kanal D,"['Aksiyon','Polisiye']",0,0,0,1,0,0,0,TMC,"Nejat İşler,Melisa Sözen,Fikret Kuşkan,Vildan Atasever,Mehmet Günsür",80,Unknown,1.566060606060606,1.0,1.5,0,0,0,0,Başarısız
865,865,Cumhur Cemaat,2007,Ebru Yalçın,Tayfun Güneyer,Star TV,['Komedi'],0,0,1,0,0,0,0,Star TV,"Zafer Algöz,Asuman Dabak,Hakan Bilgin,Umut Oğuz",90,P. Murat Özdemir,1.6464646464646466,2.0,1.6666666666666667,0,0,0,0,Başarısız
866,866,Dudaktan Kalbe,2007,Andaç Haznedaroğlu,Ece Yörenç,Show TV,['Dram'],0,1,0,0,0,0,0,Ay Yapım,"Aslı Tandoğan,Burak Hakkı,Özge Özder,Yiğit Özşener,Fadik Sevin Atasoy",100,Toygar Işıklı,1.7791763791763793,1.6666666666666667,1.9090909090909087,0,0,0,0,Kısmen Başarılı
867,867,Duvar,2007,Volkan Kocatürk,Sergin Akyaz,atv,['Dram'],0,1,0,0,0,0,0,Base Yapım,"Taylan Güner,Sinem Öztürk,Bülent Çetinaslan,Özge Bent",60,Bolahenk,2.0,1.2857142857142858,3.0,0,0,0,0,Başarısız
868,868,Elveda Derken,2007,Hilal Saral Ünalan,Petek Vural,Kanal D,['Dram'],0,1,0,0,0,0,0,Yağmur Ajans,"Ece Uslu,Gökhan Tepe,Burcu Kara,İncilay Şahin,Sinan Sümer",80,Günay Uysal,1.782142857142857,1.5,2.0,0,0,0,0,Kısmen Başarılı
869,869,Elveda Rumeli,2007,Serdar Akar,Alican Yaraş,atv,"['Dram','Tarihî']",0,1,0,0,0,1,0,Adam Film,"Erdal Özyağcılar,Tolgahan Sayışman,Şebnem Sönmez,Gökhan Mete,Mustafa Jasar,Filiz Ahmet",90,Unknown,2.4319444444444445,1.9090909090909087,1.6,0,0,0,0,Başarılı
870,870,Eşref Saati,2007,Zeynep Günay Tan,Raci Şaşmaz,Show TV,"['Komedi','Dram']",0,1,1,0,0,0,0,Pana Film,"Yetkin Dikinciler,Yavuz Bingöl,Ahmet Uğurlu",90,Unknown,1.8194444444444449,2.0,5.333333333333333,0,0,0,0,Kısmen Başarılı
871,871,Evimin Erkeği,2007,Tankut Kılınç,Sevil Kısakürek,TRT 1,"['Aile','Komedi']",1,0,1,0,0,0,0,TRT,"Janset,Mustafa Uğurlu,Alev Oraloğlu,Fatma Karanfil",80,Feyzi Ocak,1.5357142857142856,1.0,1.0,0,0,0,0,Başarısız
872,872,Fedai,2007,Güzide Balcı,Meral Okay,Star TV,['Drama'],0,1,0,0,0,0,1,D Productions,"Seda Sayan,Tamer Karadağlı,Metin Belgin,Güliz Gençoğlu,İpek Tanrıyar,Enginay Gültekin",80,Unknown,1.2083333333333333,1.3333333333333333,1.5,0,1,0,0,Başarısız
873,873,Fesupanallah,2007,Zübeyr Şaşmaz,Hasan Kaçan,atv,"['Komedi','Dram']",0,1,1,0,0,0,0,Pana Film,"Şafak Sezer,Kadir Çöpdemir,Hasan Kaçan,Erdal Tosun,Şebnem Özinal,Hatice Şendil",80,Erkin Koray,1.3625,1.0,1.4,0,0,0,0,Başarısız
874,874,Fikrimin İnce Gülü,2007,Merve Girgin,Ayşin Akbulut,Show TV,['Dram'],0,1,0,0,0,0,0,Med Yapım,"Aydan Şener,Kenan Işık,Başak Parlak,Yasemin Balık",80,Alp Erkin Çakmak,1.2023809523809526,2.0,1.0,0,0,0,0,Başarısız
875,875,Fırtınalı Aşk,2007,Ayşe Çelik Gürsoy,Tolga Küçük,atv,['Dram'],0,1,0,0,0,0,0,Med Yapım,"Tuğba Koçak,Lemi Filozof,Aslı Aybars",75,Ercan Saatçi,1.0,1.0,1.0,0,0,0,0,Başarısız
876,876,Geniş Zamanlar,2007,Serdar Akar,Mahinur Ergun,Star TV,['Dram'],0,1,0,0,0,0,0,Koliba Film,"Zuhal Olcay,Özge Özberk,Oktay Kaynarca",75,Gökhan Kırdar,1.5805555555555555,1.9090909090909087,1.625,0,0,0,0,Başarısız
877,877,Genco,2007,Kemal Uzun,İlker Barış,Kanal D,['Dram'],0,1,0,0,0,0,0,D Productions,"Alpay Kemal Atalan,Selen Seyven,Hazal Kaya",80,Cem Erman,1.5,1.1428571428571428,1.0,0,0,0,0,Başarısız
878,878,Gönül Salıncağı,2007,Şenol Sönmez,Ayşe Şule Bilgiç,TRT 1,['Dram'],0,1,0,0,0,0,0,Mayadroom Ajans,"Ayşe Şule Bilgiç,Tufan Kıraç,Erdal Tosun,Ecem Uzun",80,Tufan Kıraç,1.0,1.125,1.0,0,0,0,0,Başarısız
879,879,Hakkını Helal Et,2007,Naci Çelik Berksoy,Onur Ünlü,Samanyolu TV,"['Dram','Dini']",0,1,0,0,0,0,0,Ser Film,"Necla Nazır,Kaan Girgin,Okan Patırer",80,Erhan Güleryüz,1.1666666666666667,2.6,2.1666666666666665,0,0,0,0,Başarısız
880,880,Hayal ve Gerçek,2007,Gürcan Mete Şener,Gani Müjde,atv,"['Komedi','Fantastik','Romantik']",0,0,1,0,0,0,1,Süreç Film,"Yasemin Hadivent,Cem Kılıç,Zuhal Yalçın",70,Temel Zümrüt,1.0666666666666669,1.0,1.736842105263158,0,0,0,0,Başarısız
881,881,Hepsi 1,2007,Kartal Çidamlı,Ahmet Saatçioğlu,Show TV,"['Duygusal','Komedi']",0,0,1,0,0,0,1,Süreç Film,"Cemre Kemer,Eren Bakıcı,Gülçin Ergül,Yasemin Yürük",86,Mustafa Ceceli,2.0,1.75,1.5,0,0,0,0,Kısmen Başarılı
882,882,Kara Duvak,2007,Şahin Gök,Nuran Devres,Show TV,['Dram'],0,1,0,0,0,0,0,Pastel Film,"Hande Ataizi,Tuncel Kurtiz,Teoman Kumbaracıbaşı,Ayçin İnci",80,Mazlum Çimen,1.775,1.0,1.5,0,1,0,0,Başarısız
883,883,Kara İnci,2007,Ersoy Güler,Kurtuluş Balekoğlu,atv,"['Macera','Fantastik']",0,0,0,1,0,0,0,Avşar Film,"Ebru Özkan,Yetkin Dikinciler,Tunca Aydoğan",75,Uğur Akyürek,1.193181818181818,2.0,1.0,0,0,0,0,Başarısız
884,884,Karayılan,2007,Cem Akyoldaş,Kuledibi Senaryo Grubu,atv,"['Tarihî','Dram']",0,1,0,0,0,1,0,ATV,"Bülent İnal,Begüm Birgören,Engin Akyürek",83,Orient Expressions,1.5174242424242426,1.25,1.0,0,0,0,0,Başarısız
885,885,Kavak Yelleri,2007,Jale İncekol,Nükhet Bıçakçı,Kanal D,"['Gençlik','Dram']",0,1,0,0,0,0,0,Tims Productions,"Dağhan Külegeç,Pelin Karahan,İbrahim Kendirci,Aslı Enver,Sarp Apak",100,Pinhani,2.4,5.0,2.5,0,1,0,0,Kısmen Olgun
886,886,Komedi Dükkanı,2007,Ebru Yalçın,Tolga Çevik,Star TV,['Komedi'],0,0,1,0,0,0,0,Plato Film,Tolga Çevik ,70,Unknown,3.0,2.0,3.0,0,0,0,0,Başarılı
887,887,Kurtlar Vadisi Pusu,2007,Sadullah Şentürk,Raci Şaşmaz,Show TV,"['Aksiyon','Dram','Politik']",0,1,0,1,0,0,0,Pana Film,"Necati Şaşmaz,Cahit Kayaoğlu,Erhan Ufak,Ertuğrul Şakar,Gaye Gürsel,Defne Samyeli,Gürkan Uygun",120,Gökhan Kırdar,6.246031746031746,2.7142857142857144,5.333333333333333,0,0,0,0,Olgun
888,888,Kuzey Rüzgârı,2007,Mustafa Şevki Doğan,Baykut Badem,Show TV,"['Aşk','Mafya']",0,0,0,0,0,0,1,Duka Film,"Kadir İnanır,Oktay Kaynarca,Ebru Kocaağa,Çağla Kubat,Selçuk Yöntem",80,Aydoğan AtaşSoner Akalın,1.5796825396825398,1.2666666666666666,1.4,0,1,0,0,Başarısız
889,889,Menekşe ile Halil,2007,Uluç Bayraktar,Elif Şafak,Kanal D,"['Aşk','Drama']",0,1,0,0,0,0,1,Ay Yapım,"Kıvanç Tatlıtuğ,Sedef Avcı",100,Toygar Işıklı,1.5208333333333337,1.6666666666666667,1.0,1,1,0,0,Başarısız
890,890,Nazlı Yarim,2007,Cemile Kırmızı Karadaş,Özlem Dumludağ,Show TV,['Dram'],0,1,0,0,0,0,0,Pana Film,"Zeynep Beşerler,Nusret Çetinel,Fırat Doğruloğlu,Fatih Dokgöz",80,Unknown,2.1875,1.0,1.0,0,0,0,0,Başarısız
891,891,Parmaklıklar Ardında,2007,Nisan Akman ,Seda Altaylı,atv,"['Suç','Dram']",0,1,0,1,0,0,0,Play Prodüksiyon,"Selda Alkor,Serra Yılmaz,Yelda Reynaud,Özlem Düvencioğlu,Zeynep Eronat,Sinan Albayrak",90,Özer Taşkın,2.3000000000000003,3.0,3.0,0,1,0,0,Başarılı
892,892,Pusat,2007,Abdülkadir Ceylan Ede,Uğur Önver,Show TV,"['Aksiyon','Dram']",0,1,0,1,0,0,0,Sinegraf ltd,"Luk Piyes,Yasemin Balık,Şahin Çelik",90,Aytuğ Yargıç,1.0,1.5,1.0,0,0,0,0,Başarısız
893,893,Sana Mecburum,2007,Hakan Arslan,Cem Görgeç,Kanal D,['Dram'],0,1,0,0,0,0,0,Fm Yapım,"Doğuş,Mehtap Bayrı,Ali Sunal,Nihat Nikerel,Berke Üzrek",84,Cengiz Onural,1.2333333333333334,1.8571428571428568,1.0,0,0,0,0,Başarısız
894,894,Senden Başka,2007,Metin Balekoğlu,Ayşem Özge Yoldaş,atv,"['Dram','Komedi']",0,1,1,0,0,0,0,Tims Productions,"Saadet Işıl Aksoy,Tolga Futacı,Ezgi Mola,İpek Yalvacıoğlu",83,Taner Ayan,1.25,1.0833333333333333,1.0,0,1,0,0,Başarısız
895,895,Sessiz Fırtına,2007,Özer Kızıltan,Ayfer Tunç,Kanal D,['Dram'],0,1,0,0,0,0,0,TMC Film ,"Erkan Petekkaya,Arzum Onan,Bahar Kerimoğlu,Bsete Bereket,Mesut Akusta",84,Unknown,1.4292307692307693,1.25,1.0,0,1,0,0,Başarısız
896,896,Sessiz Gemiler,2007,Filiz Kaynak,Çetin Büyükakın,atv,['Dram'],0,1,0,0,0,0,0,Yağmur Ajans ,"Savaş Dinçel,Gülsüm Kamu,Ayhan Kavas,Yeşim Salkım",83,Ali Otyam,2.1666666666666665,1.0,2.333333333333333,0,0,0,0,Başarısız
897,897,Sevgili Dünürüm,2007,Hakan Algül,Mahinur Ergun,Star TV,['Durum komedisi'],0,0,1,0,0,0,0,Gold Film,"Engin Altan Düzyatan,Rojda Demirer,Haluk Bilginer,Sumru Yavrucuk",80,Unknown,1.499475524475525,1.5,1.625,0,1,0,0,Başarısız
898,898,Sır Gibi,2007,Şengül Halat,Neslihan Eyüboğlu,Star TV,"['Aile','Dram','Aşk']",1,1,0,0,0,0,1,FM Yapım,"İsmet Üstekin,Kaya Erdaş,Tuğçe Ersoy,Murat Ünalmış,Ece Özdikici",80,Nail Yurtsever,1.2555555555555555,1.0,1.0,0,0,0,0,Başarısız
899,899,Son Tercih,2007,Aslı Kaygusuz,Volkan Sümbül,Show TV,['Komedi'],0,0,1,0,0,0,0,Fergün Filmcilik,"Tayfun Eraslan,Selin İşcan,Bilge Şen,Zeynep Irgat",80,Ulaş Özdemir,1.3125,1.0,1.5,0,0,0,0,Başarısız
900,900,Tatlı Bela Fadime,2007,Cankat Ergin,Suna Dölek,Star TV,['Romantik komedi'],0,0,1,0,0,0,1,Erler Film,"Nehir Erdoğan,Berk Oktay,Cezmi Baskın,Füsun Demirel",80,Ömer Avcı,1.91875,1.75,1.0,0,0,0,0,Başarısız
901,901,Tek Türkiye,2007,Naci Çelik Berksoy,Ali Kara,Samanyolu TV,"['Dram','Aksiyon']",0,1,0,1,0,0,0,Ser Film,"Ozan Çobanoğlu,Müjgan Koraltürk,Süleyman Karadağ",90,Unknown,4.666666666666667,2.6,2.5,0,0,0,0,Başarılı
902,902,Üç Tatlı Cadı,2007,Özügr Özatay,Tolga Küçük,FOX,"['Aile','Komedi']",1,0,1,0,0,0,0,Med Yapım,"İlker İnanoğlu,Alp Kırşan,Berksan,Asuman Dabak",98,Targan Berk Türe,2.2847222222222223,1.0,1.0,0,0,0,0,Başarısız
903,903,Vazgeç Gönlüm,2007,Ahmet Sönmez,Ayşe Teker,Star TV,"['Dram','Aksiyon']",0,1,0,1,0,0,0,Gold Film,"Murat Han,İrem Altuğ,Bulut Aras",80,Unknown,1.9444444444444449,1.3333333333333333,2.5,0,0,0,0,Kısmen Başarılı
904,904,Yaralı Yürek,2007,Celal Çimen,Sevgi Saygı,Show TV,['Dram'],0,1,0,0,0,0,0,Limon Yapım,"Vildan Atasever,Serdar Özer,Gökhan Atalay,Tamer Levent",80,Unknown,1.190909090909091,1.0,1.0,0,0,0,0,Başarısız
