,Dizi İsimleri,Yapım Yılı,Bölüm Sayısı,Sezon Sayısı,Yönetmen,Senarist,Platform,Türler,Aile,Dram,Komedi,Aksiyon,Polisiye,Tarihi,Romantik,Yapım Şirketi,Başroller,Gösterim Süresi,Besteci,Ödüllü Yönetmen,Ödüllü Aktör,İhraç,Sonuç
0,1973: Biltmore Oteli Cinayeti,2023,6,1,Şevki Es,İbrahim Altay,tabii,"['Dram','Aksiyon','Tarihi']",0,1,0,1,0,1,0,Unknown,"Caner Kurtaran,Burak Sevinç",45,Unknown,0,0,0,Başarısız
1,Adalett,2023,10,1,Cemil Cengiz,Ümit Cihan Canpolat,tabii,['Aksiyon'],0,0,0,1,1,0,0,Vernant DP,"Burak Sergen,Yurdaer Okur,Erdem Kaynarca",50,Unknown,0,0,0,Başarısız
2,Adım Farah,2023,26,2,Recai Karagöz,Deniz Dargı,FOX,['Dram'],0,1,0,0,0,0,1,O3 Medya,"Demet Özdemir,Engin Akyürek",140,Aytekin Ataş,0,0,0,Kısmen Başarılı
3,Aile,2023,26,2,Ahmet Katıksız,Hakan Bonomo,Show TV,['Dram'],0,1,0,0,0,0,0,Ay Yapım,"Kıvanç Tatlıtuğ,Serenay Sarıkaya",120,Toygar Işıklı,0,1,0,Kısmen Başarılı
4,Akif,2023,13,1,Selahattin Sancaklı,Uğur Uzunok,tabii,['Tarihî'],0,0,0,0,0,1,0,Kirli Kedi,"Fikret Kuşkan,Özge Borak",56,Yıldıray Gürgen,0,0,0,Başarısız
5,Aktris,2023,8,1,Soner Caner,Hakan Bonomo,Disney+,['Aksiyon'],0,0,0,1,0,0,0,BKM,"Pınar Deniz,Uraz Kaygılaroğlu",45,Okan Kaya,0,1,0,Başarısız
6,Al Sancak,2023,19,1,Günay Günaydın,Atilla Engin,TRT 1,"['Aksiyon', 'Askeri', 'Dram']",0,1,0,1,1,0,0,Bozdağ Film,"Uğur Güneş,Gülsim Ali",135,Cem Öget,0,0,0,Başarısız
7,Altın Kafes,2023,4,1,Cem Akyoldaş,Rahşan Çiğdem İnan,atv,['Drama'],0,1,0,0,0,0,1,ARC Film,"Aytaç Şaşmaz,Şifa Nur Gül",145,Unknown,0,0,0,Başarısız
8,Arayış,2023,6,1,Emin Alper,Nükhet Bıçakçı,Disney+,"['Drama','Macera']",0,1,0,1,0,0,1,Ay Yapım,"Aslı Enver,Mehmet Günsür",60,Okan Kaya,0,1,0,Başarısız
9,Aşkımız Yeter,2023,10,1,Günay Günaydın,Alper Erze,tabii,['Romantik Komedi'],0,0,1,0,0,0,1,Unknown,"Berna Koraltürk,Ümit Kantarcılar,Selda Özbek",30,Unknown,0,0,0,Başarısız
10,Ateş Kuşları,2023,36,2,Bülent İşbilen,Ayşe Ferda Eryılmaz,atv,['Dram'],0,1,0,0,0,0,0,Bozdağ Film,"İlayda Alişan,Hande Soral,Görkem Sevindik,Burak Tozkoparan",135,Mayki Murat Başaran ,0,0,0,Kısmen Başarılı
11,Bambaşka Biri,2023,14,1,Neslihan Yeşilyurt,Ethem Özışık,FOX,"['Dram', 'Polisiye', 'Romantik gerilim']",0,1,0,1,1,0,0,TIMS&B Productions,"Burak Deniz,Hande Erçel",130,Atakan Ilgazdağ,0,0,0,Başarısız
12,Başım Belada,2023,5,1,Ulaş Cihan Şimşek,Hasan Burak Kayacı,atv,"['Dram', 'Aile']",1,1,0,0,0,0,0,Baba Yapım,"Keremcem,Merih Öztürk,Kaan Taşaner,Yağmur Öztürk",130,Güldiyar Tanrıdağlı,0,0,0,Başarısız
13,Ben Bu Boşluğu Nasıl,2023,6,1,Orkun Göntem,Merve Göntem,BluTV,"['Dram','Romantik']",0,1,0,0,0,0,1,TN Yapım,"Merve Nur Bengi,Cavit Çetin Güner",30,Unknown,0,0,0,Başarısız
14,Benim Güzel Ailem,2023,22,1,Sadullah Celen,Ayça Mutlugil,TRT 1,"['Aile', 'Romantik komedi']",1,0,1,0,0,0,1,Fabrika Yapım,"Erdal Özyağcılar,Onur Buldu,Melis Babadağ",135,Aria,0,0,0,Başarısız
15,Bir Derdim Var,2023,6,1,Burak Müjdeci,Yekta Torun,Kanal D,['Dram'],0,1,0,0,0,0,1,Ay Yapım,"Birce Akalay,Mert Fırat",135,Aytekin Ataş,0,0,0,Başarısız
16,Biz Kimden Kaçıyorduk Anne?,2023,7,1,Umut Aral,Unknown,Netflix,"['Dram','Polisiye','Gerilim']",0,1,0,1,1,0,0,Unknown,"Melisa Sözen,Eylül Tumbar",45,Unknown,0,0,0,Başarısız
17,Deneme Çekimi,2023,6,1,Semih Gülen,Unknown,BluTV,['Komedi'],0,0,1,0,0,0,0,Unknown,"Aslı İnandık,Meriç Aral,Erol Babaoğlu",15,Unknown,0,0,0,Başarısız
18,Derin Mor,2023,8,1,Mahmut Fazıl Çoşkun,Unknown,tabii,"['Aile','Bilim Kurgu']",1,0,0,1,0,0,0,Unknown,"Deniz Celiloğlu,Nilperi Şahinkaya,Murat Kılıç",50,Unknown,0,0,0,Başarısız
19,Dilek Taşı,2023,16,1,Altan Dönmez,Can Sinan,Kanal D,"['Dram', 'Tarihî']",0,1,0,0,0,1,0,Pastel Film,"Salih Bademci,Hazal Subaşı,Ozan Dolunay",135,JingleTV,1,1,0,Başarısız
20,Dokuz Oğuz,2023,6,1,Cem Akyoldaş,Süleyman Çobanoğlu,FOX,"['Aksiyon', 'Dram']",0,1,0,1,0,0,0,Gold Film,"Kubilay Aka,Deniz Işın,Yasemin Allen",140,Ender Gündüzlü,0,0,0,Başarısız
21,Dönence,2023,14,1,Serdar Gözelekli,Nuray Uslu,Kanal D,"['Romantik', 'Dram', 'Gençlik']",0,1,0,0,0,0,1,D Media,"Emre Kınay,Caner Topçu,Sümeyye Aydoğan,Atakan Hoşgören",120,JingleTV,0,0,0,Başarısız
22,Dünya Bu,2023,8,1,Ömer Sinir,Volkan Öge,GAİN,['Komedi'],0,0,1,0,0,0,0,AC Film,"Ali Erkazan,Cemal Hünal",35,Unknown,0,0,0,Başarısız
23,EGO,2023,13,1,Doğa Can Anafarta,Gülsev Karagöz,FOX,['Dram'],0,1,0,0,0,0,0,Pastel Film,"Alperen Duymaz,Melisa Aslı Pamuk,Ahmet Kayakesen,Rüya Helin Demirbulut",130,Cem Tuncer,0,0,0,Başarısız
24,Eyvah! Ramazan Bey,2023,10,1,Hüseyin Başarıcı,Volkan Kapkın,tabii,['Komedi'],0,0,1,0,0,0,0,Unknown,"Altan Erkekli,Murat Akkoyunlu,Mehtap Bayri",45,Günay Uysal,0,0,0,Başarısız
25,Fedakar,2023,50,1,Özgür Pak,Özer Çetinel,Kanal 7,['Dram'],0,1,0,0,0,0,1,Unknown,"Berkay Veli,Mihriban Er,Kahraman Sivri",60,Unknown,0,0,0,Başarısız
26,Gülcemal,2023,13,1,Merve Çolak,Eda Tezcan,FOX,['Dram'],0,1,0,0,0,0,0,MF Yapım,"Murat Ünalmış,Melis Sezen",130,Güldiyar Tanrıdağlı,0,0,0,Başarısız
27,Hay Sultan,2023,10,1,Emir Khalilzadeh,Burcu Mina,tabii,"['Tarihi,Dram']",0,1,0,0,0,1,0,Akli Film,"Melisa Aslı Pamuk,Mehmet Özgür,Kerem Arslanoğlu",75,Mustafa Ersen,0,0,0,Başarısız
28,Hayatımın Neşesi,2023,18,1,Şahin Altuğ,Ekin Atalar,TRT 1,['Komedi'],0,0,1,0,0,0,0,Goya Entertainment,"Şebnem Bozoklu,Tolga Tekin",120,Mert Oktan,0,0,0,Başarısız
29,Hudutsuz Sevda,2023,13,1,Murat Öztürk,Bahadır Özdener,FOX,['Dram'],0,1,0,0,0,0,0,Medyapım,"Deniz Can Aktaş,Miray Daner,Esra Dermancıoğlu,Burak Sergen,Burak Sevinç,Asuman Dabak",125,Cem Tuncer,0,0,0,Başarısız
30,Hür,2023,10,1,Ekin Pandır,İlker Arslan,tabii,"['Macera', 'Aksiyon']",0,0,0,1,0,0,0,ES Film,"Hilmi Cem İntepe,Ogün Kaptanoğlu,Batuhan Demir,Deniz Çatalbaş,Zeynep Tuğçe Bayat",48,Ender Gündüzlü,0,0,0,Başarısız
31,Kader Bağları,2023,5,1,Benal Tairi,Sema Ali Erol,FOX,['Dram'],0,1,0,0,0,0,0,Süreç Film,"Serkan Çayoğlu,Ayça Ayşin Turan,Mehmet Aykaç",135,Barış Aryay,0,0,0,Başarısız
32,Kader Oyunları,2023,53,1,Emre Bahadır Çırakoğlu,Unknown,a2,"['Dram','Romantik','Aile']",1,1,0,0,0,0,1,Unknown,"Türkü Su Demirel,Ali Yasin Özgemen,Kadir Polatçı",60,Can Algüç,0,0,0,Başarısız
33,Kapı,2023,10,1, Mustafa Aktürk,Unknown,tabii,['Dram'],0,1,0,0,0,0,0,Unknown,"Müfit Kayacan,Jessica May,Hasan Denizyaran",34,Unknown,0,0,0,Başarısız
34,Kendi Düşen Ağlamaz,2023,25,1,Emre Kabakuşak,Gülbike Sonay Üte ,TRT 1,['Romantik komedi'],0,0,1,0,0,0,1,NGM,"Hakan Yılmaz,Selen Soyder,Enes Koçak,Eylül Tumbar",120,Ece Ölçer,1,0,0,Başarısız
